,x_pos,y_pos
0,309,254
1,323,265
2,327,237
3,339,250
4,343,222
5,355,234
6,355,209
7,366,220
8,374,188
9,386,201
10,386,235
11,400,219
12,414,235
13,402,247
14,393,169
15,402,187
16,423,168
17,443,186
18,452,166
19,467,185
20,475,169
21,492,185
22,494,169
23,514,187
24,512,170
25,393,159
26,391,146
27,413,159
28,414,146
29,440,157
30,440,146
31,464,145
32,464,162
33,485,156
34,484,145
35,509,146
36,510,157
37,527,145
38,524,162
39,533,162
40,528,185
41,543,145
42,544,156
43,560,145
44,559,156
45,544,169
46,544,187
47,560,169
48,561,187
49,579,168
50,585,185
51,569,155
52,567,146
53,581,146
54,595,157
55,593,146
56,582,158
57,613,145
58,614,156
59,634,147
60,634,156
61,597,169
62,606,186
63,618,169
64,637,168
65,640,187
66,625,189
67,608,208
68,610,233
69,629,233
70,629,213
71,660,170
72,653,188
73,674,186
74,665,198
75,677,210
76,689,202
77,699,213
78,694,222
79,679,224
80,673,231
81,669,163
82,677,141
83,684,178
84,683,161
85,697,175
86,697,193
87,719,196
88,708,209
89,720,221
90,739,215
91,735,232
92,757,235
93,749,247
94,770,246
95,760,259
96,779,265
