,Unnamed: 0,x_pos,y_pos,sim
0,0,309,254,0.8666666666666667
1,1,323,265,1.0
2,2,327,237,1.0
3,3,339,250,1.0
4,4,343,222,0.8666666666666667
5,5,355,234,1.0
6,6,355,209,1.0
7,7,366,220,1.0
8,8,374,188,1.0
9,9,386,201,1.0
10,10,386,235,0.8666666666666667
11,11,400,219,1.0
12,12,414,235,1.0
13,13,402,247,0.8666666666666667
14,14,393,169,1.0
15,15,402,187,1.0
16,16,423,168,1.0
17,17,443,186,1.0
18,18,452,166,1.0
19,19,467,185,1.0
20,20,475,169,0.8666666666666667
21,21,492,185,1.0
22,22,494,169,1.0
23,23,514,187,1.0
24,24,512,170,1.0
25,25,393,159,0.8666666666666667
26,26,391,146,1.0
27,27,413,159,1.0
28,28,414,146,1.0
29,29,440,157,1.0
30,30,440,146,1.0
31,31,464,145,1.0
32,32,464,162,1.0
33,33,485,156,1.0
34,34,484,145,1.0
35,35,509,146,1.0
36,36,510,157,1.0
37,37,527,145,1.0
38,38,524,162,1.0
39,39,533,162,1.0
40,40,528,185,0.8666666666666667
41,41,543,145,1.0
42,42,544,156,1.0
43,43,560,145,0.75
44,44,559,156,1.0
45,45,544,169,0.8666666666666667
46,46,544,187,0.8666666666666667
47,47,560,169,1.0
48,48,561,187,1.0
49,49,579,168,1.0
50,50,585,185,1.0
51,51,569,155,1.0
52,52,567,146,1.0
53,53,581,146,1.0
54,54,595,157,1.0
55,55,593,146,1.0
56,56,582,158,1.0
57,57,613,145,1.0
58,58,614,156,1.0
59,59,634,147,1.0
60,60,634,156,1.0
61,61,597,169,0.8666666666666667
62,62,606,186,1.0
63,63,618,169,1.0
64,64,637,168,1.0
65,65,640,187,0.8666666666666667
66,66,625,189,1.0
67,67,608,208,1.0
68,68,610,233,1.0
69,69,629,233,1.0
70,70,629,213,1.0
71,71,660,170,1.0
72,72,653,188,1.0
73,73,674,186,1.0
74,74,665,198,1.0
75,75,677,210,1.0
76,76,689,202,0.8666666666666667
77,77,699,213,1.0
78,78,694,222,1.0
79,79,679,224,1.0
80,80,673,231,1.0
81,81,669,163,0.8666666666666667
82,82,677,141,1.0
83,83,684,178,1.0
84,84,683,161,1.0
85,85,697,175,1.0
86,86,697,193,1.0
87,87,719,196,1.0
88,88,708,209,1.0
89,89,720,221,1.0
90,90,739,215,1.0
91,91,735,232,1.0
92,92,757,235,1.0
93,93,749,247,1.0
94,94,770,246,1.0
95,95,760,259,1.0
96,96,779,265,1.0
