,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av
377,long_path,lp2,10s,ignore,6,gaus_80,"[13.24775378980064, 8.712157894674167]","[2.064454765399837, 1.064501093789357]","[7.589838702127908, 2.0967064744856176]",7.634015752442795,"[12.70113498280137, 10.349017512560811]","[2.4017718023228563, 1.526812594496591]","[7.061683581152654, 3.9004800057771565]",7.38819678875896,[13.549140998935627],[2.880231697437092],[8.620837262085733],8.350069986152818
359,long_path,lp2,10s,penalty,3,gaus_top,"[12.704376706595486, 8.866240128636308]","[4.116825115949282, 2.37126707447355]","[6.174495839506173, 3.374751612113878]",7.665232554016981,"[11.758019911578243, 9.223822691966943]","[4.244838821321321, 2.5634834943767255]","[5.246233724279836, 4.189943978955321]",7.0830308190598,[13.828124239684126],[5.967238202702703],[6.954174563786007],8.916512335390946
378,long_path,lp2,10s,ignore,6,gaus_normal,"[13.30944767065909, 8.57942927767492]","[2.1060798118008166, 1.0405670806320586]","[7.680526230411342, 2.1479639304250444]",7.698684570957082,"[12.70008080400403, 10.08889766717301]","[2.066505188347634, 1.307936284077169]","[7.056963398365671, 3.7324500308955684]",7.274516463572444,[13.554064646896489],[2.7298802022722564],[8.65647288234967],8.313472577172805
375,long_path,lp2,10s,ignore,3,gaus_top,"[13.544355706595486, 9.24162401283745]","[2.3168701159492833, 1.1398982009356915]","[7.270764728395063, 2.912689145511161]",7.710663516979944,"[13.36042674174174, 8.52171654717563]","[3.692199984984985, 2.4851588476377064]","[5.389165679012345, 3.936622684102136]",7.480597468579691,[14.311524455566678],[4.621121261428096],[9.373208736625514],9.435284817873429
373,long_path,lp2,10s,ignore,3,gaus_80,"[13.621194085338558, 8.516897336093392]","[2.155645579973955, 1.0943637730845628]","[7.388947503584449, 2.8600293673898722]",7.721929056298987,"[13.10202310455372, 9.953711378217049]","[2.3386181893357336, 1.3069375112613169]","[6.434082507980333, 3.933776760030149]",7.291574600623261,[13.861968474431867],[3.27764398284186],[8.544713587460683],8.56144201491147
357,long_path,lp2,10s,penalty,3,gaus_80,"[13.116942422550144, 8.76683461442231]","[3.989252748538579, 1.9978022338962815]","[6.103628078906423, 3.3542017135466997]",7.736607749998382,"[12.477510101790505, 8.360399495232397]","[3.318233036257181, 2.502797337956768]","[5.706314510399057, 4.661148982269734]",7.167352549482248,[13.538492764198484],[4.810483997777772],[6.759528144287219],8.369501635421159
358,long_path,lp2,10s,penalty,3,gaus_normal,"[13.183898618842798, 8.812495008098267]","[3.9203042498000276, 2.0203725785880136]","[6.144097144469045, 3.295333063975071]",7.749433337703958,"[12.509065516947992, 8.487143461991563]","[3.097560640212412, 2.5909113252788103]","[5.65261832558714, 4.630549452820369]",7.086414827582515,[13.589739000342664],[4.6396882515352],[6.77788579709987],8.335771016325912
376,long_path,lp2,10s,ignore,6,average,"[13.37942155844734, 8.561429704902572]","[2.1687256715048413, 1.1129635762865269]","[7.725321265432097, 2.1046002041524323]",7.757822831794759,"[12.73196953620287, 9.850786768102397]","[1.7988038776276276, 1.2042799447444663]","[6.983227335390946, 3.0454510229837766]",7.171333583073815,[13.567603559003448],[2.581236768768769],[8.722662586419755],8.290500971397323
352,long_path,lp2,10s,penalty,1,average,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]",7.794200523152784,"[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",7.832067320746671,[14.068656542320099],[5.549708879212547],[7.495230995884775],9.037865472472474
368,long_path,lp2,10s,ignore,1,average,"[13.184364706595487, 8.161930706309905]","[2.454644449282616, 1.5555690071470203]","[7.775937283950619, 2.5610906836986294]",7.804982146609574,"[12.680030005005005, 9.856328252419898]","[3.6945800834167497, 2.076924730908542]","[6.520001604938271, 4.905433188522682]",7.631537231120009,[13.716575476921367],[4.349830079245914],[9.00334144032922],9.023248998832168
